"actor.followersCount" "actor.friendsCount" "actor.languages" "actor.link" "actor.preferredUsername" "actor.statusesCount" "body" "generator.displayName" "lat" "lon" "gnip.klout_score" "inReplyTo.link" "link" "object.actor.displayName" "object.actor.followersCount" "object.actor.preferredUsername" "object.actor.statusesCount" "object.twitter_entities.hashtags.text" "postedTime" "day" "hour" "min" "sec" "comboTime" "retweetCount" "twitter_entities.hashtags.text" "twitter_entities.user_mentions.screen_name" "verb"
"2463" 141 204 "en" "http://www.twitter.com/MrMarrocbro" "MrMarrocbro" "6582" "@kjsutter is Sandy going to delay or prevent your chances from getting up here this weekend?" "Twitter for iPhone" "39.91545513" "-86.08253086" "45" "" "http://twitter.com/MrMarrocbro/statuses/261615744951922688" "" "" "" "" "" "2012-10-25T23:50:28.000Z" 25 23 50 28 "10-25 23:50" "" "" "kjsutter" "post"
"2613" 7397 833 "en" "http://www.twitter.com/akagorilla" "akagorilla" "8598" "Outstanding game for Carmen. (@ Sandy Plains Softball Assoc. w/ 2 others) http://t.co/sEWlh9ed" "foursquare" "34.04055855" "-84.46161498" "64" "" "http://twitter.com/akagorilla/statuses/261629146785017856" "" "" "" "" "" "2012-10-26T00:43:44.000Z" 26 0 43 44 "10-26 00:43" "0" "" "" "post"
"2795" 297 514 "en" "http://www.twitter.com/tommybev5" "tommybev5" "3266" "So hurricane sandy???? WOW! Florida!!!! #STAYAWAY" "Twitter for Android" "27.9789231" "-82.3362901" "36" "" "http://twitter.com/tommybev5/statuses/261646488994713601" "" "" "" "" "" "2012-10-26T01:52:38.000Z" 26 1 52 38 "10-26 01:52" "" "STAYAWAY" "" "post"
"2941" 9752 819 "en" "http://www.twitter.com/technosailor" "technosailor" "109780" "Following Sandy. Take this storm seriously, DC and Baltimore. In 20 years, I never saw this. Buckle up" "Twitter for iPhone" "30.26075654" "-97.73804485" "67" "" "http://twitter.com/technosailor/statuses/261658473190797312" "" "" "" "" "" "2012-10-26T02:40:16.000Z" 26 2 40 16 "10-26 02:40" "0" "" "" "post"
"3088" 169 87 "en" "http://www.twitter.com/rosie_hernandez" "rosie_hernandez" "4734" "Hurricane Sandy on its way. @ Flagler Beach http://t.co/WHTJeYFB" "Instagram" "29.48035493" "-81.12913013" "41" "" "http://twitter.com/rosie_hernandez/statuses/261670617873530883" "" "" "" "" "" "2012-10-26T03:28:31.000Z" 26 3 28 31 "10-26 03:28" "0" "" "" "post"
"3262" 364 304 "en" "http://www.twitter.com/ChelChiiii" "ChelChiiii" "12276" "Sandy you bitch you better not ruin my Halloween party. Oh. Wait a minute. Halloween hurricane party anyone?! ??????????" "Twitter for iPhone" "34.15475275" "-77.90591794" "38" "" "http://twitter.com/ChelChiiii/statuses/261691899797188608" "" "" "" "" "" "2012-10-26T04:53:05.000Z" 26 4 53 5 "10-26 04:53" "0" "" "" "post"
"3498" 555 523 "es" "http://www.twitter.com/JoAnCoMe" "JoAnCoMe" "3605" "Hola, Sandy. ?Qu? onda, cuate? Te est?s divirtiendo mucho, ?no? ?Cu?ntos muertos llevas ya?" "Twitter for BlackBerry?" "10.49384" "-66.91253" "50" "" "http://twitter.com/JoAnCoMe/statuses/261747683495133184" "" "" "" "" "" "2012-10-26T08:34:45.000Z" 26 8 34 45 "10-26 08:34" "0" "" "" "post"
"3651" 389 400 "en" "http://www.twitter.com/martha_tweets" "martha_tweets" "14377" "We live in Pennsylvania now.... I thought we left hurricane tracking behind in Florida! We have a concert to attend on Tues.  #goawaySandy" "TweetCaster for iOS" "40.226939" "-75.306811" "43" "" "http://twitter.com/martha_tweets/statuses/261777544871833601" "" "" "" "" "" "2012-10-26T10:33:24.000Z" 26 10 33 24 "10-26 10:33" "0" "goawaySandy" "" "post"
"3805" 148 125 "en" "http://www.twitter.com/TIFFKN0WSBEST" "TIFFKN0WSBEST" "14701" "Hurricane Sandy killed 21 people in the Bahamas????" "Twitter for iPhone" "40.61394793" "-74.45735489" "36" "" "http://twitter.com/TIFFKN0WSBEST/statuses/261791173100834816" "" "" "" "" "" "2012-10-26T11:27:34.000Z" 26 11 27 34 "10-26 11:27" "" "" "" "post"
"3955" 3021 1043 "en" "http://www.twitter.com/jaimearodriguez" "jaimearodriguez" "14786" "@floridagirlindc Craziness right? Im running the @Marine_Marathon in Sunday, But Sandy threw a wrench into everyone's plans." "Twitter for iPhone" "25.96152564" "-80.14170941" "55" "http://twitter.com/floridagirlindc/statuses/261799433321201664" "http://twitter.com/jaimearodriguez/statuses/261804564049715203" "" "" "" "" "" "2012-10-26T12:20:46.000Z" 26 12 20 46 "10-26 12:20" "" "" "floridagirlindc,Marine_Marathon" "post"
"4118" 186 241 "en" "http://www.twitter.com/MarcJFernandez" "MarcJFernandez" "3296" "Today is going to be a busy day @RedCrossEastMA as we activate the DOC!  #preparation #HurricaneSandy" "Twitter for iPhone" "42.25606549" "-71.00994425" "37" "" "http://twitter.com/MarcJFernandez/statuses/261817057493020672" "" "" "" "" "" "2012-10-26T13:10:25.000Z" 26 13 10 25 "10-26 13:10" "" "preparation,HurricaneSandy" "RedCrossEastMA" "post"
"4258" 1110 1714 "en" "http://www.twitter.com/IAmStewieJa" "IAmStewieJa" "24600" "@ryan_rytrus aoh deh yea gwaan tekk it ezy afta sandy fuck up jamaica think spongebob ave bunna gyal yea" "Twitter for BlackBerry?" "0" "" "42" "http://twitter.com/ryan_rytrus/statuses/261825313569382400" "http://twitter.com/IAmStewieJa/statuses/261826327374602240" "" "" "" "" "" "2012-10-26T13:47:15.000Z" 26 13 47 15 "10-26 13:47" "" "" "ryan_rytrus" "post"
"4394" 51 77 "en" "http://www.twitter.com/wkile" "wkile" "1087" "Hurricane Sandy washed up a baby dolphin :-( @ Crackerjacks Seafood &amp; Tiki Bar http://t.co/VGhq20wN" "Instagram" "28.61948985" "-80.80047071" "14" "" "http://twitter.com/wkile/statuses/261837080164970496" "" "" "" "" "" "2012-10-26T14:29:59.000Z" 26 14 29 59 "10-26 14:29" "" "" "" "post"
"4581" 201 235 "es" "http://www.twitter.com/LuciiaSandy" "LuciiaSandy" "2433" "@PalomitaSandy BENIDORM, A MIS PIES AJAJJAJA AMO AL DE ALMANSA" "Twitter for Android" "38.9941686" "-1.8527404" "42" "http://twitter.com/PalomitaSandy/statuses/261850682989092865" "http://twitter.com/LuciiaSandy/statuses/261851227615293440" "" "" "" "" "" "2012-10-26T15:26:12.000Z" 26 15 26 12 "10-26 15:26" "" "" "PalomitaSandy" "post"
"4739" 87 274 "en" "http://www.twitter.com/Denis_Devaux" "Denis_Devaux" "2548" "Hurricane sandy there I said it" "Twitter for iPhone" "41.15891532" "-73.22481177" "33" "" "http://twitter.com/Denis_Devaux/statuses/261860205581721600" "" "" "" "" "" "2012-10-26T16:01:52.000Z" 26 16 1 52 "10-26 16:01" "0" "" "" "post"
"4907" 268 242 "en" "http://www.twitter.com/bridgetlord" "bridgetlord" "3856" "Can't wait to go check out the waves #hurricanesandy" "Twitter for iPhone" "26.35025979" "-80.08727339" "43" "" "http://twitter.com/bridgetlord/statuses/261870769951358976" "" "" "" "" "" "2012-10-26T16:43:51.000Z" 26 16 43 51 "10-26 16:43" "" "hurricanesandy" "" "post"
"5053" 127 119 "en" "http://www.twitter.com/mothaa_teresaa" "mothaa_teresaa" "1706" "\"Hurricane Sandy is on its way\" @jwichensky" "Twitter for iPhone" "42.10488217" "-80.05451747" "40" "" "http://twitter.com/mothaa_teresaa/statuses/261879503352111104" "" "" "" "" "" "2012-10-26T17:18:33.000Z" 26 17 18 33 "10-26 17:18" "" "" "jwichensky" "post"
"5187" 171 248 "en" "http://www.twitter.com/therealjnielsen" "therealjnielsen" "2438" "Who else is ready for some pillaging next week? #hurricanesandy #ithoughthurricaneseasonwasover" "Twitter for iPhone" "40.1568714" "-76.9896319" "36" "" "http://twitter.com/therealjnielsen/statuses/261889546923433984" "" "" "" "" "" "2012-10-26T17:58:28.000Z" 26 17 58 28 "10-26 17:58" "" "hurricanesandy,ithoughthurricaneseasonwasover" "" "post"
"5329" 6895 6240 "es" "http://www.twitter.com/ThinkerInMotion" "ThinkerInMotion" "38838" "Sandy pounds Bahamas after killing 38 in Caribbean http://t.co/Ga9Y41oX" "dlvr.it" "35.6704706" "139.6862062" "61" "" "http://twitter.com/ThinkerInMotion/statuses/261898520963973121" "" "" "" "" "" "2012-10-26T18:34:07.000Z" 26 18 34 7 "10-26 18:34" "0" "" "" "post"
"5471" 38 126 "en" "http://www.twitter.com/lefiddleback" "lefiddleback" "1080" "\"@NPRmelissablock: Is it just me, or does Hurricane Sandy look like a uterus? http://t.co/wtDprx6t\" GOP is confused by its workings." "Twitter for Android" "45.5427726" "-122.7001812" "31" "" "http://twitter.com/lefiddleback/statuses/261907560381173760" "" "" "" "" "" "2012-10-26T19:10:03.000Z" 26 19 10 3 "10-26 19:10" "0" "" "NPRmelissablock" "post"
"5601" 225 212 "en" "http://www.twitter.com/teko242kid" "teko242kid" "16685" "Smt sandy carry ya ass man u dun do ya damage!!" "Twitter for BlackBerry?" "26.6876" "-78.96689" "37" "" "http://twitter.com/teko242kid/statuses/261915345219104768" "" "" "" "" "" "2012-10-26T19:40:59.000Z" 26 19 40 59 "10-26 19:40" "" "" "" "post"
"5745" 111 466 "en" "http://www.twitter.com/raysr19" "raysr19" "5531" "This Hurricane is going to put an end to fall there'll be no fall foliage this season.  Just hoping the it takes up leaves too? #Sandy" "Twitter for iPhone" "40.13690871" "-74.71162084" "47" "" "http://twitter.com/raysr19/statuses/261924023548669953" "" "" "" "" "" "2012-10-26T20:15:28.000Z" 26 20 15 28 "10-26 20:15" "" "Sandy" "" "post"
"5878" 495 904 "en" "http://www.twitter.com/BirdNerDther29" "BirdNerDther29" "51125" "@AHurricaneSandy I just ran over @BadLuck_Brian TWICE" "Twitter for iPhone" "27.1441308" "-80.24095472" "41" "http://twitter.com/AHurricaneSandy/statuses/261929692943228928" "http://twitter.com/BirdNerDther29/statuses/261930241977643008" "" "" "" "" "" "2012-10-26T20:40:10.000Z" 26 20 40 10 "10-26 20:40" "" "" "AHurricaneSandy,BadLuck_Brian" "post"
"6009" 78 37 "en" "http://www.twitter.com/sandyelliott7" "sandyelliott7" "1339" "@AlexandraFoshee I hope my hurricane doesn't cause much damage or any injuries! #hurricaneSandy" "Twitter for iPhone" "36.83646902" "-119.7776754" "43" "http://twitter.com/AlexandraFoshee/statuses/261490941347655680" "http://twitter.com/sandyelliott7/statuses/261936995608178688" "" "" "" "" "" "2012-10-26T21:07:00.000Z" 26 21 7 0 "10-26 21:07" "" "hurricaneSandy" "AlexandraFoshee" "post"
"6139" 21 116 "en" "http://www.twitter.com/Photos_by_Holly" "Photos_by_Holly" "678" "Checking out Sandy's approach, as well as WVEC 13 news (@ Avalon Fishing Pier) [pic]: http://t.co/z0gdl1dJ" "foursquare" "36.04408841" "-75.6746703" "13" "" "http://twitter.com/Photos_by_Holly/statuses/261943103399804929" "" "" "" "" "" "2012-10-26T21:31:17.000Z" 26 21 31 17 "10-26 21:31" "" "" "" "post"
"6259" 310 278 "en" "http://www.twitter.com/_KaatDaddy" "_KaatDaddy" "13309" "Merp,  sandy's on it's way!!" "Twitter for Android" "38.6342989" "-77.2721162" "46" "" "http://twitter.com/_KaatDaddy/statuses/261949855759470592" "" "" "" "" "" "2012-10-26T21:58:07.000Z" 26 21 58 7 "10-26 21:58" "0" "" "" "post"
"6389" 350 418 "en" "http://www.twitter.com/DeniseL615" "DeniseL615" "13955" "@CaptKrunch stay safe when Sandy hits.  We r gonna secure outside stuff tomorrow and get prepared" "Twitter for iPhone" "39.86924786" "-75.39154461" "" "http://twitter.com/CaptKrunch/statuses/261815854243667968" "http://twitter.com/DeniseL615/statuses/261956666180923393" "" "" "" "" "" "2012-10-26T22:25:10.000Z" 26 22 25 10 "10-26 22:25" "" "" "CaptKrunch" "post"
"6521" 138 579 "en" "http://www.twitter.com/BarbaraBlue" "BarbaraBlue" "2364" "Hurricane bonus...amazing sunsets!!! I'll have the pics up soon   #hurricane #hurricanesandy" "Twitter for Android" "32.8231171" "-79.9514525" "38" "" "http://twitter.com/BarbaraBlue/statuses/261963202651357185" "" "" "" "" "" "2012-10-26T22:51:09.000Z" 26 22 51 9 "10-26 22:51" "0" "hurricane,hurricanesandy" "" "post"
"6651" 1040 1663 "en" "http://www.twitter.com/itsAdam" "itsAdam" "923" "Here's hoping I'm not getting sick. I'll blame Sandy! #EmergenC #ScratchyThroat #BonesThatAche #Hurricane" "Twitter for iPhone" "40.76386308" "-73.98773079" "" "" "http://twitter.com/itsAdam/statuses/261969847955636224" "" "" "" "" "" "2012-10-26T23:17:33.000Z" 26 23 17 33 "10-26 23:17" "" "EmergenC,ScratchyThroat" "" "post"
"6770" 2781 3057 "en" "http://www.twitter.com/slines" "slines" "45572" "@CataulaGaWX So, Ed, what say the #WX soothsayers about #Sandy or #FrankenStorm ? 
 @SenhW @Ants_SNEweather @PolandMEwx" "Twittelator" "33.332163" "-83.394486" "61" "" "http://twitter.com/slines/statuses/261976260606050304" "" "" "" "" "" "2012-10-26T23:43:02.000Z" 26 23 43 2 "10-26 23:43" "" "WX,Sandy" "CataulaGaWX,SenhW" "post"
"6914" 1 20 "en" "http://www.twitter.com/megasctipl" "megasctipl" "49" "#HurricaneSandy hcs ?I am condident that is? and yes it properly, it is yet again" "dlvr.it" "37.99826284" "-121.0050781" "" "" "http://twitter.com/megasctipl/statuses/261984632088702977" "" "" "" "" "" "2012-10-27T00:16:18.000Z" 27 0 16 18 "10-27 00:16" "" "HurricaneSandy" "" "post"
"7040" 1522 1971 "en" "http://www.twitter.com/futuregirl97" "futuregirl97" "37861" "COME AND GET ME SANDY!" "Twitter for iPhone" "39.74458285" "-75.27665357" "44" "" "http://twitter.com/futuregirl97/statuses/261993886895968256" "" "" "" "" "" "2012-10-27T00:53:04.000Z" 27 0 53 4 "10-27 00:53" "0" "" "" "post"
"7176" 132 305 "en" "http://www.twitter.com/Lucyy__C" "Lucyy__C" "3338" "@ItsmeImaniKai @DevonMJack LOL sandy the bitch that's going to get me out of work for a day" "Mobile Web" "40.74506696" "-74.01381902" "43" "http://twitter.com/ItsmeImaniKai/statuses/262001651903242240" "http://twitter.com/Lucyy__C/statuses/262003698698444800" "" "" "" "" "" "2012-10-27T01:32:04.000Z" 27 1 32 4 "10-27 01:32" "" "" "ItsmeImaniKai,DevonMJack" "post"
"7331" 124 138 "en" "http://www.twitter.com/Bryce_Hamilton" "Bryce_Hamilton" "11038" "Hi vacation. Sandy you better not ruin it!!!" "iOS" "40.218671" "-74.035902" "35" "" "http://twitter.com/Bryce_Hamilton/statuses/262014414209835008" "" "" "" "" "" "2012-10-27T02:14:39.000Z" 27 2 14 39 "10-27 02:14" "0" "" "" "post"
"7466" 2424 1380 "en" "http://www.twitter.com/nsj" "nsj" "10041" "@KevinKlineNews @survivetvjobs Yes, but that meteorologist's boss said twice today that the name was #Sandy and that's why they'd use." "Twitter for iPhone" "35.71934477" "-78.89809136" "66" "http://twitter.com/KevinKlineNews/statuses/262017773771841537" "http://twitter.com/nsj/statuses/262024595018760193" "" "" "" "" "" "2012-10-27T02:55:06.000Z" 27 2 55 6 "10-27 02:55" "" "Sandy" "KevinKlineNews,survivetvjobs" "post"
"7599" 256 849 "en" "http://www.twitter.com/KnightInATL" "" "2998" "I'm at IHOP (Sandy Springs, GA) http://t.co/rGsytSQG" "foursquare" "33.92228927" "-84.37945466" "40" "" "http://twitter.com/KnightInATL/statuses/262033506367062016" "" "" "" "" "" "2012-10-27T03:30:30.000Z" 27 3 30 30 "10-27 03:30" "0" "" "" "post"
"7742" 69 295 "en" "http://www.twitter.com/DanielHolmquist" "DanielHolmquist" "188" "Naming a hurricane Sandy just doesn't sound scary enough." "Twitter for iPhone" "34.68732961" "-118.2137993" "19" "" "http://twitter.com/DanielHolmquist/statuses/262042926148902912" "" "" "" "" "" "2012-10-27T04:07:56.000Z" 27 4 7 56 "10-27 04:07" "" "" "" "post"
"7878" 41 174 "en" "http://www.twitter.com/miguelhine" "" "172" "SoBe Drainer! - South Beach, FL ? Oct 26th 2012 #surfing #hurricanesandy #heavy #huge #so @ South Beach. FL http://t.co/NGrITgGV" "Instagram" "25.69301224" "-80.16459656" "21" "" "http://twitter.com/miguelhine/statuses/262059456668524544" "" "" "" "" "" "2012-10-27T05:13:37.000Z" 27 5 13 37 "10-27 05:13" "0" "surfing,hurricanesandy" "" "post"
"8009" 26 72 "en" "http://www.twitter.com/CCarrera0013" "CCarrera0013" "1577" "#Superstorm AHHH SANDY!!!" "Twitter for iPhone" "41.82209839" "-72.69765898" "" "" "http://twitter.com/CCarrera0013/statuses/262085351227654145" "" "" "" "" "" "2012-10-27T06:56:31.000Z" 27 6 56 31 "10-27 06:56" "" "Superstorm" "" "post"
"8183" 126 203 "es" "http://www.twitter.com/Aleexander1O" "Aleexander1O" "4523" "@Sandy_DS3 yaa eera.logico paenas lo e visto e sabido que iba por mi :$$$$" "Twitter for Android" "40.35528559" "-3.68284986" "41" "http://twitter.com/Sandy_DS3/statuses/262130796515688448" "http://twitter.com/Aleexander1O/statuses/262130980779855873" "" "" "" "" "" "2012-10-27T09:57:50.000Z" 27 9 57 50 "10-27 09:57" "" "" "Sandy_DS3" "post"
"8339" 870 1265 "es" "http://www.twitter.com/papelito_" "papelito_" "35855" "Se esta saliendo el mar la polic?a vino a tratar de detenerlo... #sandy #lasOlas #FTLauderda @ Las Olas Blvd http://t.co/A74SCgTL" "Instagram" "26.12180161" "-80.10576014" "47" "" "http://twitter.com/papelito_/statuses/262154237088260096" "" "" "" "" "" "2012-10-27T11:30:15.000Z" 27 11 30 15 "10-27 11:30" "0" "sandy,lasOlas" "" "post"
"8452" 216 493 "en" "http://www.twitter.com/Jennah_Marie" "Jennah_Marie" "5545" "Weekend? What weekend? Off to work to monitor Hurricane Sandy and keep little Rhody in check. Ha" "Twitter for iPhone" "41.6310081" "-71.25034335" "48" "" "http://twitter.com/Jennah_Marie/statuses/262159563934007296" "" "" "" "" "" "2012-10-27T11:51:25.000Z" 27 11 51 25 "10-27 11:51" "0" "" "" "post"
"8571" 2 20 "en" "http://www.twitter.com/matxa991nj" "matxa991nj" "40" "#Sandy ooz ?I am sure that is? and it also perfectly, it is all over again" "dlvr.it" "29.69036794" "-100.7902344" "" "" "http://twitter.com/matxa991nj/statuses/262164318546718720" "" "" "" "" "" "2012-10-27T12:10:18.000Z" 27 12 10 18 "10-27 12:10" "" "Sandy" "" "post"
"8698" 1003 1664 "en" "http://www.twitter.com/MauriceMichael" "MauriceMichael" "10291" "?@cnnbrk: Sandy has re-strengthened to hurricane status, the National Hurricane Center says. http://t.co/Btzajk2e?. Time to run outside!" "Twitter for iPhone" "40.78460108" "-73.94897339" "56" "" "http://twitter.com/MauriceMichael/statuses/262169598848290816" "" "" "" "" "" "2012-10-27T12:31:17.000Z" 27 12 31 17 "10-27 12:31" "0" "" "cnnbrk" "post"
"8813" 0 15 "en" "http://www.twitter.com/g76ikno" "g76ikno" "22" "#Sandy ooz ?I am sure that is? and it also perfectly, it is all over again" "dlvr.it" "36.60002871" "-117.6652344" "" "" "http://twitter.com/g76ikno/statuses/262174636463243264" "" "" "" "" "" "2012-10-27T12:51:18.000Z" 27 12 51 18 "10-27 12:51" "" "Sandy" "" "post"
"8934" 4 13 "en" "http://www.twitter.com/elanecmphares" "elanecmphares" "1636" "#Sandy ooz ?I am sure that is? and it also perfectly, it is all over again" "dlvr.it" "40.74927596" "-73.8078125" "" "" "http://twitter.com/elanecmphares/statuses/262179921256923136" "" "" "" "" "" "2012-10-27T13:12:18.000Z" 27 13 12 18 "10-27 13:12" "" "Sandy" "" "post"
"9064" 0 18 "en" "http://www.twitter.com/foletariaz" "foletariaz" "91" "#Sandy ooz ?I am sure that is? and it also perfectly, it is all over again" "dlvr.it" "35.53439498" "-118.45625" "" "" "http://twitter.com/foletariaz/statuses/262184449230385153" "" "" "" "" "" "2012-10-27T13:30:18.000Z" 27 13 30 18 "10-27 13:30" "" "Sandy" "" "post"
"9194" 2 15 "en" "http://www.twitter.com/rbyts305" "rbyts305" "25" "#Sandy ooz ?I am sure that is? and it also perfectly, it is all over again" "dlvr.it" "37.09236565" "-119.5109375" "" "" "http://twitter.com/rbyts305/statuses/262188727747612672" "" "" "" "" "" "2012-10-27T13:47:18.000Z" 27 13 47 18 "10-27 13:47" "" "Sandy" "" "post"
"9310" 7 18 "en" "http://www.twitter.com/awchalipon" "awchalipon" "94" "#Sandy ooz ?I am sure that is? and it also perfectly, it is all over again" "dlvr.it" "34.16402334" "-102.0207031" "" "" "http://twitter.com/awchalipon/statuses/262193002498371584" "" "" "" "" "" "2012-10-27T14:04:17.000Z" 27 14 4 17 "10-27 14:04" "" "Sandy" "" "post"
"9419" 11 60 "en" "http://www.twitter.com/MikeyJ351" "MikeyJ351" "73" "I'm ready for sandy!   She can bring friends too!" "Twitter for iPhone" "39.79156672" "-74.92959559" "21" "" "http://twitter.com/MikeyJ351/statuses/262196298936094720" "" "" "" "" "" "2012-10-27T14:17:23.000Z" 27 14 17 23 "10-27 14:17" "" "" "" "post"
"9551" 110 192 "es" "http://www.twitter.com/waskalreyes" "waskalreyes" "3615" "Sandy ya vete si" "Twitter for BlackBerry?" "18.42323" "-70.11423" "43" "" "http://twitter.com/waskalreyes/statuses/262200880110137345" "" "" "" "" "" "2012-10-27T14:35:35.000Z" 27 14 35 35 "10-27 14:35" "0" "" "" "post"
